date,open,high,low,close,volume,symbol,source,download_timestamp_market,asset,adractcnt,feetotntv,txcnt,download_timestamp_onchain,sma_20,ema_20,rsi_14,macd,macd_signal,bb_upper,bb_lower,bb_width
2024-09-16,59122.7,59214.15,57477.0,58208.75,7654.10991835,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,746172,6.69885955,486773,2025-06-29 17:05:04.117435,57779.5515,58379.84547005512,48.47266156767922,-340.7671118206272,-739.213319226915,61352.06247913651,54207.04052086349,7145.021958273021
2024-09-17,58209.76,61373.41,57620.27,60312.6,11701.89074715,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,732953,8.05436086,551806,2025-06-29 17:05:04.117435,57842.8875,58563.91733004987,54.91501860569995,-152.84621101547964,-621.9398975846279,61545.49985712772,54140.27514287228,7405.224714255441
2024-09-18,60317.38,61800.0,59174.5,61769.18,11471.50683029,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,720313,7.11434967,535050,2025-06-29 17:05:04.117435,57963.123,58869.1804414737,58.75947969026612,112.32151709129539,-475.0876146494433,61996.933092649866,53929.31290735013,8067.620185299733
2024-09-19,61770.38,63891.82,61569.16,62960.14,15075.86835522,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,746741,10.00384875,449403,2025-06-29 17:05:04.117435,58155.491500000004,59258.79563752382,61.639745508073716,413.79934945880814,-297.31022182779304,62722.032799400564,53588.95020059944,9133.08259880112
2024-09-20,62956.04,64140.67,62340.0,63210.69,10636.1082809,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,822445,9.57190122,524801,2025-06-29 17:05:04.117435,58367.6075,59635.16652918822,62.2372673205418,665.2711628583274,-104.79394489056895,63432.40549528421,53302.809504715784,10129.595990568429
2024-09-21,63210.94,63575.63,62755.0,63362.74,1960.85712028,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,665209,5.89529395,564640,2025-06-29 17:05:04.117435,58670.794499999996,59990.17352640838,62.61781898079775,866.8411458595656,89.53307325945796,64152.25184689772,53189.33715310227,10962.91469379545
2024-09-22,63362.74,64000.0,62380.55,63577.66,2882.2341982,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,595289,5.26931683,629903,2025-06-29 17:05:04.117435,58892.68600000001,60331.83890484568,63.18259784907926,1032.0324300245265,278.0329446124717,64776.638603627616,53008.7333963724,11767.905207255215
2024-09-23,63580.39,64739.67,62566.28,63338.87,7014.74459935,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,796781,7.83739591,573531,2025-06-29 17:05:04.117435,59186.1875,60618.2228186699,62.06069709702565,1130.6459725466557,448.5555501993085,65336.35568190813,53036.01931809187,12300.336363816255
2024-09-24,63338.85,64700.0,62689.15,64272.93,8933.46473574,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,749184,6.91630544,531570,2025-06-29 17:05:04.117435,59501.284,60966.29016927277,64.70105052220984,1269.5343494794142,612.7513100553297,66005.67322334266,52996.89477665734,13008.778446685319
2024-09-25,64272.93,64811.0,62932.8,63130.89,5909.09510453,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,713234,6.62531601,504605,2025-06-29 17:05:04.117435,59849.9875,61172.44253410393,59.26982787192688,1272.7794955152858,744.756947147321,66347.55802279351,53352.416977206485,12995.141045587028
2024-09-26,63131.13,65865.0,62652.99,65177.21,12789.85035505,BTC,alpha_vantage,2025-06-29 17:05:03.299936,btc,721855,8.76025312,483781,2025-06-29 17:05:04.117435,60411.347499999996,61553.84895942736,64.94763366386482,1424.0565814919319,880.6168740162432,66709.90570907255,54112.78929092744,12597.116418145117
