asset,time,AdrActCnt,FeeTotNtv,TxCnt,download_timestamp
btc,2024-04-15 00:00:00+00:00,813736,157.47266193,503794,2025-06-29 16:50:53.838759
btc,2024-04-16 00:00:00+00:00,941086,92.75445493,453968,2025-06-29 16:50:53.838759
btc,2024-04-17 00:00:00+00:00,794595,121.85088432,385424,2025-06-29 16:50:53.838759
btc,2024-04-18 00:00:00+00:00,823945,107.17008007,416810,2025-06-29 16:50:53.838759
btc,2024-04-19 00:00:00+00:00,880733,179.87658691,398632,2025-06-29 16:50:53.838759
btc,2024-04-20 00:00:00+00:00,509709,1206.4665844,630654,2025-06-29 16:50:53.838759
btc,2024-04-21 00:00:00+00:00,565959,335.52917373,644793,2025-06-29 16:50:53.838759
btc,2024-04-22 00:00:00+00:00,659537,254.1083329,673406,2025-06-29 16:50:53.838759
btc,2024-04-23 00:00:00+00:00,547174,445.20827332,928131,2025-06-29 16:50:53.838759
btc,2024-04-24 00:00:00+00:00,835569,250.0755658,600768,2025-06-29 16:50:53.838759
btc,2024-04-25 00:00:00+00:00,818807,109.88507376,525222,2025-06-29 16:50:53.838759
btc,2024-04-26 00:00:00+00:00,847289,90.92221995,440854,2025-06-29 16:50:53.838759
btc,2024-04-27 00:00:00+00:00,856864,62.41209597,459297,2025-06-29 16:50:53.838759
btc,2024-04-28 00:00:00+00:00,707117,52.6358838,480244,2025-06-29 16:50:53.838759
btc,2024-04-29 00:00:00+00:00,856192,45.31174055,400991,2025-06-29 16:50:53.838759
btc,2024-04-30 00:00:00+00:00,827915,45.06205756,501881,2025-06-29 16:50:53.838759
btc,2024-05-01 00:00:00+00:00,781183,37.91687325,477225,2025-06-29 16:50:53.838759
btc,2024-05-02 00:00:00+00:00,744998,34.86927785,563418,2025-06-29 16:50:53.838759
btc,2024-05-03 00:00:00+00:00,731936,34.64122185,437975,2025-06-29 16:50:53.838759
btc,2024-05-04 00:00:00+00:00,613171,46.6176148,668343,2025-06-29 16:50:53.838759
btc,2024-05-05 00:00:00+00:00,573428,123.39594228,626139,2025-06-29 16:50:53.838759
btc,2024-05-06 00:00:00+00:00,670316,40.57671837,507965,2025-06-29 16:50:53.838759
btc,2024-05-07 00:00:00+00:00,702887,35.91638629,373579,2025-06-29 16:50:53.838759
btc,2024-05-08 00:00:00+00:00,697417,29.99070924,453934,2025-06-29 16:50:53.838759
btc,2024-05-09 00:00:00+00:00,671205,30.3355985,521126,2025-06-29 16:50:53.838759
btc,2024-05-10 00:00:00+00:00,606931,31.61827711,720578,2025-06-29 16:50:53.838759
btc,2024-05-11 00:00:00+00:00,612137,36.33618273,712455,2025-06-29 16:50:53.838759
btc,2024-05-12 00:00:00+00:00,573640,21.76650346,562310,2025-06-29 16:50:53.838759
btc,2024-05-13 00:00:00+00:00,746125,26.56727678,541770,2025-06-29 16:50:53.838759
btc,2024-05-14 00:00:00+00:00,686207,21.80349699,422749,2025-06-29 16:50:53.838759
btc,2024-05-15 00:00:00+00:00,714393,22.61964088,499145,2025-06-29 16:50:53.838759
btc,2024-05-16 00:00:00+00:00,689540,22.57077245,481822,2025-06-29 16:50:53.838759
btc,2024-05-17 00:00:00+00:00,743911,21.6140954,564502,2025-06-29 16:50:53.838759
btc,2024-05-18 00:00:00+00:00,650957,17.78384646,399736,2025-06-29 16:50:53.838759
btc,2024-05-19 00:00:00+00:00,637953,16.36852518,641786,2025-06-29 16:50:53.838759
btc,2024-05-20 00:00:00+00:00,706063,17.7672926,632582,2025-06-29 16:50:53.838759
btc,2024-05-21 00:00:00+00:00,746087,28.50070627,544407,2025-06-29 16:50:53.838759
btc,2024-05-22 00:00:00+00:00,709347,21.28417083,587003,2025-06-29 16:50:53.838759
btc,2024-05-23 00:00:00+00:00,728396,29.88985282,736406,2025-06-29 16:50:53.838759
btc,2024-05-24 00:00:00+00:00,663534,23.29662675,739561,2025-06-29 16:50:53.838759
btc,2024-05-25 00:00:00+00:00,591356,20.95915897,844733,2025-06-29 16:50:53.838759
btc,2024-05-26 00:00:00+00:00,538911,19.45922541,852881,2025-06-29 16:50:53.838759
btc,2024-05-27 00:00:00+00:00,612909,22.50732148,549315,2025-06-29 16:50:53.838759
btc,2024-05-28 00:00:00+00:00,653177,17.81071009,594169,2025-06-29 16:50:53.838759
btc,2024-05-29 00:00:00+00:00,559784,39.68926576,721240,2025-06-29 16:50:53.838759
btc,2024-05-30 00:00:00+00:00,649063,38.83301124,510008,2025-06-29 16:50:53.838759
btc,2024-05-31 00:00:00+00:00,656289,68.10439279,713689,2025-06-29 16:50:53.838759
btc,2024-06-01 00:00:00+00:00,570980,43.98748517,737521,2025-06-29 16:50:53.838759
btc,2024-06-02 00:00:00+00:00,536181,34.67564887,729457,2025-06-29 16:50:53.838759
btc,2024-06-03 00:00:00+00:00,689745,44.11314832,758731,2025-06-29 16:50:53.838759
btc,2024-06-04 00:00:00+00:00,637180,35.36014269,636795,2025-06-29 16:50:53.838759
btc,2024-06-05 00:00:00+00:00,592424,58.08407623,562197,2025-06-29 16:50:53.838759
btc,2024-06-06 00:00:00+00:00,624088,64.84076304,602842,2025-06-29 16:50:53.838759
btc,2024-06-07 00:00:00+00:00,583336,322.71243036,250713,2025-06-29 16:50:53.838759
btc,2024-06-08 00:00:00+00:00,772154,146.21708792,529506,2025-06-29 16:50:53.838759
btc,2024-06-09 00:00:00+00:00,609844,73.01393361,761292,2025-06-29 16:50:53.838759
btc,2024-06-10 00:00:00+00:00,684041,65.82128027,661124,2025-06-29 16:50:53.838759
btc,2024-06-11 00:00:00+00:00,684207,43.46025505,469892,2025-06-29 16:50:53.838759
btc,2024-06-12 00:00:00+00:00,677849,47.3618229,690905,2025-06-29 16:50:53.838759
btc,2024-06-13 00:00:00+00:00,613255,56.90466857,729876,2025-06-29 16:50:53.838759
btc,2024-06-14 00:00:00+00:00,606488,52.92308615,599059,2025-06-29 16:50:53.838759
btc,2024-06-15 00:00:00+00:00,635369,44.27193232,447381,2025-06-29 16:50:53.838759
btc,2024-06-16 00:00:00+00:00,735939,36.56667052,452652,2025-06-29 16:50:53.838759
btc,2024-06-17 00:00:00+00:00,724644,28.63720969,465013,2025-06-29 16:50:53.838759
btc,2024-06-18 00:00:00+00:00,733498,36.09319142,605888,2025-06-29 16:50:53.838759
btc,2024-06-19 00:00:00+00:00,622245,33.2733342,635236,2025-06-29 16:50:53.838759
btc,2024-06-20 00:00:00+00:00,661281,31.10704312,528366,2025-06-29 16:50:53.838759
btc,2024-06-21 00:00:00+00:00,719280,27.57973752,592761,2025-06-29 16:50:53.838759
btc,2024-06-22 00:00:00+00:00,639305,20.79966679,681231,2025-06-29 16:50:53.838759
btc,2024-06-23 00:00:00+00:00,511478,14.6153336,497676,2025-06-29 16:50:53.838759
btc,2024-06-24 00:00:00+00:00,756391,19.66337788,525488,2025-06-29 16:50:53.838759
btc,2024-06-25 00:00:00+00:00,631668,24.0234603,550745,2025-06-29 16:50:53.838759
btc,2024-06-26 00:00:00+00:00,659381,19.26881426,465408,2025-06-29 16:50:53.838759
btc,2024-06-27 00:00:00+00:00,741302,18.42543764,427935,2025-06-29 16:50:53.838759
btc,2024-06-28 00:00:00+00:00,752964,17.89385748,595003,2025-06-29 16:50:53.838759
btc,2024-06-29 00:00:00+00:00,720705,16.03949068,703622,2025-06-29 16:50:53.838759
btc,2024-06-30 00:00:00+00:00,653363,13.47568084,518698,2025-06-29 16:50:53.838759
btc,2024-07-01 00:00:00+00:00,907181,18.49026197,596143,2025-06-29 16:50:53.838759
btc,2024-07-02 00:00:00+00:00,750376,18.00587384,608523,2025-06-29 16:50:53.838759
btc,2024-07-03 00:00:00+00:00,769767,15.19477075,536681,2025-06-29 16:50:53.838759
btc,2024-07-04 00:00:00+00:00,715636,16.9184077,535655,2025-06-29 16:50:53.838759
btc,2024-07-05 00:00:00+00:00,694964,14.77085672,493163,2025-06-29 16:50:53.838759
btc,2024-07-06 00:00:00+00:00,720587,15.35289765,656568,2025-06-29 16:50:53.838759
btc,2024-07-07 00:00:00+00:00,594423,12.69506688,684693,2025-06-29 16:50:53.838759
btc,2024-07-08 00:00:00+00:00,798942,14.37429054,586774,2025-06-29 16:50:53.838759
btc,2024-07-09 00:00:00+00:00,762581,13.30599968,644607,2025-06-29 16:50:53.838759
btc,2024-07-10 00:00:00+00:00,646708,16.23558048,632748,2025-06-29 16:50:53.838759
btc,2024-07-11 00:00:00+00:00,646553,12.19231647,646591,2025-06-29 16:50:53.838759
btc,2024-07-12 00:00:00+00:00,708446,12.34355143,659272,2025-06-29 16:50:53.838759
btc,2024-07-13 00:00:00+00:00,601071,19.58933961,733907,2025-06-29 16:50:53.838759
btc,2024-07-14 00:00:00+00:00,751254,13.01942202,588547,2025-06-29 16:50:53.838759
btc,2024-07-15 00:00:00+00:00,787506,13.33311612,544485,2025-06-29 16:50:53.838759
btc,2024-07-16 00:00:00+00:00,746639,12.20790622,536502,2025-06-29 16:50:53.838759
btc,2024-07-17 00:00:00+00:00,729938,14.03700729,617766,2025-06-29 16:50:53.838759
btc,2024-07-18 00:00:00+00:00,764574,10.04544397,435804,2025-06-29 16:50:53.838759
btc,2024-07-19 00:00:00+00:00,755308,12.22929051,507835,2025-06-29 16:50:53.838759
btc,2024-07-20 00:00:00+00:00,673407,9.98442967,696460,2025-06-29 16:50:53.838759
btc,2024-07-21 00:00:00+00:00,607493,10.36967833,858284,2025-06-29 16:50:53.838759
btc,2024-07-22 00:00:00+00:00,749350,13.21311422,827992,2025-06-29 16:50:53.838759
